id_legacy,nombre,categoria,familia,subfamilia,unidad,stock_legacy,minimo,proveedor
inv_bdn3_off_290,PISCO TABERNERO,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,0,2,VINOTECA
inv_bdn3_off_211,PLÁTANOS,Frutas y Verduras,LA CHACRA,Sin subfamilia,kg,1,1,LA CHACRA
inv_bdn3_off_167,POROTOS,Abarrotes,ICB,Sin subfamilia,kg,0,2,ICB
inv_bdn3_off_212,PUERRO,Frutas y Verduras,LA CHACRA,Sin subfamilia,unidad,8,4,LA CHACRA
inv_bdn3_off_44,PULPA FRUTILLA,PULPAS Y JUGOS,AGROLMUE,Sin subfamilia,unidad,6,10,AGROLMUE
inv_bdn3_off_45,PULPA MANGO,PULPAS Y JUGOS,AGROLMUE,Sin subfamilia,unidad,13,10,AGROLMUE
inv_bdn3_off_46,PULPA PIÑA,PULPAS Y JUGOS,AGROLMUE,Sin subfamilia,unidad,10,10,AGROLMUE
inv_bdn3_off_36,PULPO,Pescados y Mariscos,MAR AZUL,Sin subfamilia,kg,1.8,2,
inv_1777907729694,PULPO PORCIÓN,Pescados y Mariscos,PRODUCCION,Sin subfamilia,porción,0,0,PRODUCCION
inv_bdn3_off_168,QUESO CREMA,Lácteos,ICB,Sin subfamilia,kg,1.26,1.3,ICB
inv_bdn3_off_242,QUESO DE CABRA,Lácteos,QUESOS  JUAN ARDILES,Sin subfamilia,kg,2.12,2,QUESOS  JUAN ARDILES
inv_bdn3_off_377,QUESO EMMENTAL,Lácteos,SUPERMERCADO,Sin subfamilia,unidad,0,1,LÁCTEOS Y DERIVADOS
inv_bdn3_off_240,QUESO LAMINADO,Lácteos,QUESOS  JUAN ARDILES,Sin subfamilia,kg,0,1,QUESOS  JUAN ARDILES
inv_bdn3_off_241,QUESO MANTECOSO,Lácteos,QUESOS  JUAN ARDILES,Sin subfamilia,kg,1.66,8,QUESOS  JUAN ARDILES
inv_bdn3_off_378,QUESO MOZARELLA,Lácteos,SUPERMERCADO,Sin subfamilia,kg,0,2,LÁCTEOS Y DERIVADOS
inv_bdn3_off_243,QUESO PARMESANOOOOOOOOO REGGIANITO,Lácteos,QUESOS  JUAN ARDILES,Sin subfamilia,kg,4.13,2,QUESOS  JUAN ARDILES
inv_bdn3_off_244,QUESO RALLADO X 2 K,Lácteos,PRODUCCION,Sin subfamilia,kg,2,10,QUESOS  JUAN ARDILES
inv_bdn3_off_169,QUINOA BLANCA,Abarrotes,ICB,Sin subfamilia,kg,0.2,1,ICB
inv_bdn3_off_171,QUINOA NEGRA,Abarrotes,ICB,Sin subfamilia,kg,0.2,1,ICB
inv_bdn3_off_170,QUINOA ROJA,Abarrotes,ICB,Sin subfamilia,kg,0.2,1,ICB
inv_bdn3_off_105,RAMAZZOTTI,DESTILADOS Y LICORES,CCU,Sin subfamilia,unidad,23,6,CCU
inv_bdn3_off_37,REINETA ENTERA,Pescados y Mariscos,AGROMAR,Sin subfamilia,kg,32.6,20,
inv_bdn3_off_38,REINETA FILETE,Pescados y Mariscos,PRODUCCION,Sin subfamilia,unidad,0,20,
inv_1777139739896,ROLLOS TERMICOS,Aseo,EL TRIGAL,Sin subfamilia,UN,6,0,EL TRIGAL
inv_bdn3_off_292,RON BLANCO BARCELO,DESTILADOS Y LICORES,VINOTECA,Sin subfamilia,unidad,4,6,VINOTECA
inv_bdn3_off_106,RON HABANA CLUB 3 ANOS BLANCO,DESTILADOS Y LICORES,CCU,Sin subfamilia,unidad,3,3,CCU
inv_bdn3_off_107,RON HABANA CLUB 7 ANOS,DESTILADOS Y LICORES,CCU,Sin subfamilia,unidad,0,1,CCU
inv_bdn3_off_108,RON HABANA CLUB RESERVA,DESTILADOS Y LICORES,CCU,Sin subfamilia,unidad,0,2,CCU
inv_bdn3_off_109,RON HABANA CLUB RESERVA ESPECIAL,DESTILADOS Y LICORES,CCU,Sin subfamilia,unidad,0,2,CCU
inv_bdn3_off_213,RUCULA,Frutas y Verduras,LA CHACRA,Sin subfamilia,unidad,2,2,LA CHACRA
inv_bdn3_off_172,SAL,Abarrotes,ICB,Sin subfamilia,kg,6,10,ICB
inv_1777139209524,VIENESAS,Carnes y Aves,SUPERMERCADO,Sin subfamilia,kg,0,0,SUPERMERCADO
inv_1777661035029,SALMÓN ENTERO (AL VACIO),Pescados y Mariscos,MAR AZUL,Sin subfamilia,kg,18.18,0,GLOBAL FROZEN
